Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
County,Colusa County,CA,Colusa County,NA,2.914464845
County,Copiah County,MS,Copiah County,NA,1.26173542
County,Coweta County,GA,Coweta County,NA,3.176580796
County,Cowley County,KS,Cowley County,NA,-2.054317549
County,Craven County,NC,Craven County,NA,2.939718687
County,Custer County,MT,Custer County,NA,-1.492030492
County,Custer County,OK,Custer County,NA,-2.100254885
County,Dakota County,MN,Dakota County,NA,3.344900105
County,Dallas County,IA,Dallas County,NA,1.817332201
County,Dallas County,MO,Dallas County,NA,1.948491538
County,Dallas County,TX,Dallas County,NA,3.929544387
County,Dawson County,GA,Dawson County,NA,3.694948698
County,Dawson County,MT,Dawson County,NA,1.255125285
County,Dawson County,TX,Dawson County,NA,0.485237484
County,DeSoto County,MS,DeSoto County,NA,2.561559889
County,Dekalb County,GA,Dekalb County,NA,4.574468085
County,Dekalb County,TN,Dekalb County,NA,4.066768995
County,Denton County,TX,Denton County,NA,1.872913118
County,Denver County,CO,Denver County,NA,-0.230166271
County,Dewitt County,IL,Dewitt County,NA,0.098901099
County,Dickey County,ND,Dickey County,NA,-0.494033413
County,Dubois County,IN,Dubois County,NA,4.008317338
County,Duplin County,NC,Duplin County,NA,-2.231884058
County,Durham County,NC,Durham County,NA,4.631920415
County,Elbert County,CO,Elbert County,NA,4.45311902
County,Elbert County,GA,Elbert County,NA,5.371671991
County,Elmore County,AL,Elmore County,NA,1.508934073
County,Elmore County,ID,Elmore County,NA,11.12689805
County,Emmons County,ND,Emmons County,NA,1.04867872
County,Etowah County,AL,Etowah County,NA,-2.311311311
County,Fannin County,GA,Fannin County,NA,2.079677257
County,Fannin County,TX,Fannin County,NA,2.382978723
County,Finney County,KS,Finney County,NA,2.457013575
County,Foster County,ND,Foster County,NA,0.063197026
County,Fresno County,CA,Fresno County,NA,3.242986962
County,Fulton County,GA,Fulton County,NA,2.602380119
County,Fulton County,IN,Fulton County,NA,2.634596696
County,Fulton County,NY,Fulton County,NA,0.164102564
County,Fulton County,OH,Fulton County,NA,-0.180073801
County,Gaines County,TX,Gaines County,NA,3.683364255
County,Gallia County,OH,Gallia County,NA,0.448785639
County,Garvin County,OK,Garvin County,NA,1.058730159
County,Gaston County,NC,Gaston County,NA,5.965495208
County,Geauga County,OH,Geauga County,NA,0.701454234
County,Gibson County,IN,Gibson County,NA,1.685082873
County,Gibson County,TN,Gibson County,NA,-3.471925134
